,date,new_deaths
36866,2020-01-06,
36867,2020-01-18,
36868,2020-01-24,
36869,2020-02-02,
36870,2020-02-09,
36871,2020-02-15,
36872,2020-02-23,
36873,2020-02-26,
36874,2020-02-27,
36875,2020-02-28,
36876,2020-02-29,
36877,2020-03-01,
36878,2020-03-02,
36879,2020-03-03,
36880,2020-03-04,
36881,2020-03-05,
36882,2020-03-06,
36883,2020-03-07,
36884,2020-03-08,
36885,2020-03-09,
36886,2020-03-10,
36887,2020-03-11,1.0
36888,2020-03-12,0.0
36889,2020-03-13,0.0
36890,2020-03-14,2.0
36891,2020-03-15,1.0
36892,2020-03-16,0.0
36893,2020-03-17,1.0
36894,2020-03-18,0.0
36895,2020-03-19,1.0
36896,2020-03-20,0.0
36897,2020-03-21,7.0
36898,2020-03-22,2.0
36899,2020-03-23,2.0
36900,2020-03-24,3.0
36901,2020-03-25,2.0
36902,2020-03-26,4.0
36903,2020-03-27,2.0
36904,2020-03-28,4.0
36905,2020-03-29,6.0
36906,2020-03-30,5.0
36907,2020-03-31,6.0
36908,2020-04-01,1.0
36909,2020-04-02,3.0
36910,2020-04-03,10.0
36911,2020-04-04,5.0
36912,2020-04-05,5.0
36913,2020-04-06,6.0
36914,2020-04-07,2.0
36915,2020-04-08,2.0
36916,2020-04-09,4.0
36917,2020-04-10,5.0
36918,2020-04-11,1.0
36919,2020-04-12,5.0
36920,2020-04-13,1.0
36921,2020-04-14,2.0
36922,2020-04-15,1.0
36923,2020-04-16,3.0
36924,2020-04-17,3.0
36925,2020-04-18,2.0
36926,2020-04-19,3.0
36927,2020-04-20,3.0
36928,2020-04-21,5.0
36929,2020-04-22,0.0
36930,2020-04-23,4.0
36931,2020-04-24,5.0
36932,2020-04-25,0.0
36933,2020-04-26,4.0
36934,2020-04-27,2.0
36935,2020-04-28,2.0
36936,2020-04-29,1.0
36937,2020-04-30,1.0
36938,2020-05-01,0.0
36939,2020-05-02,3.0
36940,2020-05-03,1.0
36941,2020-05-04,2.0
36942,2020-05-05,0.0
36943,2020-05-06,1.0
36944,2020-05-07,1.0
36945,2020-05-08,2.0
36946,2020-05-09,1.0
36947,2020-05-10,0.0
36948,2020-05-11,0.0
36949,2020-05-12,1.0
36950,2020-05-13,3.0
36951,2020-05-14,1.0
36952,2020-05-15,4.0
36953,2020-05-16,2.0
36954,2020-05-17,1.0
36955,2020-05-18,2.0
36956,2020-05-19,0.0
36957,2020-05-20,1.0
36958,2020-05-21,2.0
36959,2020-05-22,1.0
36960,2020-05-23,2.0
36961,2020-05-24,0.0
36962,2020-05-25,1.0
36963,2020-05-26,1.0
36964,2020-05-27,0.0
36965,2020-05-28,2.0
36966,2020-05-29,0.0
36967,2020-05-30,0.0
36968,2020-05-31,0.0
36969,2020-06-01,4.0
36970,2020-06-02,0.0
36971,2020-06-03,0.0
36972,2020-06-04,1.0
36973,2020-06-05,0.0
36974,2020-06-06,0.0
36975,2020-06-07,0.0
36976,2020-06-08,2.0
36977,2020-06-09,1.0
36978,2020-06-10,0.0
36979,2020-06-11,0.0
36980,2020-06-12,0.0
36981,2020-06-13,0.0
36982,2020-06-14,0.0
36983,2020-06-15,1.0
36984,2020-06-16,1.0
36985,2020-06-17,2.0
36986,2020-06-18,1.0
36987,2020-06-19,1.0
36988,2020-06-20,1.0
36989,2020-06-21,0.0
36990,2020-06-22,0.0
36991,2020-06-23,0.0
36992,2020-06-24,0.0
36993,2020-06-25,1.0
36994,2020-06-26,0.0
36995,2020-06-27,0.0
36996,2020-06-28,0.0
36997,2020-06-29,0.0
36998,2020-06-30,1.0
36999,2020-07-01,0.0
37000,2020-07-02,0.0
37001,2020-07-03,0.0
37002,2020-07-04,0.0
37003,2020-07-05,0.0
37004,2020-07-06,0.0
37005,2020-07-07,1.0
37006,2020-07-08,0.0
37007,2020-07-09,0.0
37008,2020-07-10,0.0
37009,2020-07-11,0.0
37010,2020-07-12,0.0
37011,2020-07-13,0.0
37012,2020-07-14,0.0
37013,2020-07-15,0.0
37014,2020-07-16,0.0
37015,2020-07-17,1.0
37016,2020-07-18,0.0
37017,2020-07-19,0.0
37018,2020-07-20,1.0
37019,2020-07-21,2.0
37020,2020-07-22,3.0
37021,2020-07-23,1.0
37022,2020-07-24,0.0
37023,2020-07-25,0.0
37024,2020-07-26,1.0
37025,2020-07-27,0.0
37026,2020-07-28,1.0
37027,2020-07-29,0.0
37028,2020-07-30,0.0
37029,2020-07-31,3.0
37030,2020-08-01,0.0
37031,2020-08-02,2.0
37032,2020-08-03,1.0
37033,2020-08-04,0.0
37034,2020-08-05,1.0
37035,2020-08-06,0.0
37036,2020-08-07,0.0
37037,2020-08-08,1.0
37038,2020-08-09,1.0
37039,2020-08-10,1.0
37040,2020-08-11,1.0
37041,2020-08-12,2.0
37042,2020-08-13,5.0
37043,2020-08-14,2.0
37044,2020-08-15,3.0
37045,2020-08-16,2.0
37046,2020-08-17,2.0
37047,2020-08-18,2.0
37048,2020-08-19,3.0
37049,2020-08-20,0.0
37050,2020-08-21,3.0
37051,2020-08-22,2.0
37052,2020-08-23,2.0
37053,2020-08-24,0.0
37054,2020-08-25,1.0
37055,2020-08-26,5.0
37056,2020-08-27,6.0
37057,2020-08-28,5.0
37058,2020-08-29,1.0
37059,2020-08-30,2.0
37060,2020-08-31,4.0
37061,2020-09-01,5.0
37062,2020-09-02,2.0
37063,2020-09-03,5.0
37064,2020-09-04,1.0
37065,2020-09-05,1.0
37066,2020-09-06,4.0
37067,2020-09-07,5.0
37068,2020-09-08,1.0
37069,2020-09-09,3.0
37070,2020-09-10,4.0
37071,2020-09-11,3.0
37072,2020-09-12,2.0
37073,2020-09-13,3.0
37074,2020-09-14,5.0
37075,2020-09-15,3.0
37076,2020-09-16,3.0
37077,2020-09-17,9.0
37078,2020-09-18,2.0
37079,2020-09-19,4.0
37080,2020-09-20,7.0
37081,2020-09-21,6.0
37082,2020-09-22,8.0
37083,2020-09-23,5.0
37084,2020-09-24,9.0
37085,2020-09-25,3.0
37086,2020-09-26,7.0
37087,2020-09-27,3.0
37088,2020-09-28,4.0
37089,2020-09-29,5.0
37090,2020-09-30,3.0
37091,2020-10-01,2.0
37092,2020-10-02,5.0
37093,2020-10-03,7.0
37094,2020-10-04,4.0
37095,2020-10-05,8.0
37096,2020-10-06,3.0
37097,2020-10-07,4.0
37098,2020-10-08,6.0
37099,2020-10-09,1.0
37100,2020-10-10,5.0
37101,2020-10-11,13.0
37102,2020-10-12,7.0
37103,2020-10-13,6.0
37104,2020-10-14,7.0
37105,2020-10-15,13.0
37106,2020-10-16,8.0
37107,2020-10-17,10.0
37108,2020-10-18,9.0
37109,2020-10-19,11.0
37110,2020-10-20,8.0
37111,2020-10-21,6.0
37112,2020-10-22,15.0
37113,2020-10-23,10.0
37114,2020-10-24,5.0
37115,2020-10-25,10.0
37116,2020-10-26,7.0
37117,2020-10-27,12.0
37118,2020-10-28,10.0
37119,2020-10-29,12.0
37120,2020-10-30,5.0
37121,2020-10-31,6.0
37122,2020-11-01,9.0
37123,2020-11-02,7.0
37124,2020-11-03,13.0
37125,2020-11-04,18.0
37126,2020-11-05,29.0
37127,2020-11-06,13.0
37128,2020-11-07,34.0
37129,2020-11-08,35.0
37130,2020-11-09,41.0
37131,2020-11-10,41.0
37132,2020-11-11,43.0
37133,2020-11-12,50.0
37134,2020-11-13,38.0
37135,2020-11-14,38.0
37136,2020-11-15,71.0
37137,2020-11-16,59.0
37138,2020-11-17,63.0
37139,2020-11-18,60.0
37140,2020-11-19,59.0
37141,2020-11-20,72.0
37142,2020-11-21,108.0
37143,2020-11-22,103.0
37144,2020-11-23,84.0
37145,2020-11-24,101.0
37146,2020-11-25,87.0
37147,2020-11-26,99.0
37148,2020-11-27,101.0
37149,2020-11-28,121.0
37150,2020-11-29,98.0
37151,2020-11-30,85.0
37152,2020-12-01,111.0
37153,2020-12-02,89.0
37154,2020-12-03,100.0
37155,2020-12-04,98.0
37156,2020-12-05,98.0
37157,2020-12-06,101.0
37158,2020-12-07,89.0
37159,2020-12-08,102.0
37160,2020-12-09,95.0
37161,2020-12-10,81.0
37162,2020-12-11,102.0
37163,2020-12-12,68.0
37164,2020-12-13,85.0
37165,2020-12-14,62.0
37166,2020-12-15,98.0
37167,2020-12-16,85.0
37168,2020-12-17,78.0
37169,2020-12-18,96.0
37170,2020-12-19,58.0
37171,2020-12-20,70.0
37172,2020-12-21,85.0
37173,2020-12-22,83.0
37174,2020-12-23,62.0
37175,2020-12-24,55.0
37176,2020-12-25,50.0
37177,2020-12-26,46.0
37178,2020-12-27,53.0
37179,2020-12-28,66.0
37180,2020-12-29,58.0
37181,2020-12-30,58.0
37182,2020-12-31,50.0
37183,2021-01-01,43.0
37184,2021-01-02,40.0
37185,2021-01-03,36.0
37186,2021-01-04,54.0
37187,2021-01-05,40.0
37188,2021-01-06,48.0
37189,2021-01-07,47.0
37190,2021-01-08,49.0
37191,2021-01-09,32.0
37192,2021-01-10,36.0
37193,2021-01-11,39.0
37194,2021-01-12,27.0
37195,2021-01-13,25.0
37196,2021-01-14,33.0
37197,2021-01-15,34.0
37198,2021-01-16,20.0
37199,2021-01-17,28.0
37200,2021-01-18,19.0
37201,2021-01-19,30.0
37202,2021-01-20,27.0
37203,2021-01-21,25.0
37204,2021-01-22,28.0
37205,2021-01-23,24.0
37206,2021-01-24,24.0
37207,2021-01-25,25.0
37208,2021-01-26,21.0
37209,2021-01-27,32.0
37210,2021-01-28,18.0
37211,2021-01-29,22.0
37212,2021-01-30,15.0
37213,2021-01-31,17.0
37214,2021-02-01,33.0
37215,2021-02-02,22.0
37216,2021-02-03,27.0
37217,2021-02-04,25.0
37218,2021-02-05,19.0
37219,2021-02-06,29.0
37220,2021-02-07,21.0
37221,2021-02-08,25.0
37222,2021-02-09,20.0
37223,2021-02-10,17.0
37224,2021-02-11,22.0
37225,2021-02-12,21.0
37226,2021-02-13,26.0
37227,2021-02-14,23.0
37228,2021-02-15,26.0
37229,2021-02-16,29.0
37230,2021-02-17,13.0
37231,2021-02-18,27.0
37232,2021-02-19,28.0
37233,2021-02-20,23.0
37234,2021-02-21,25.0
37235,2021-02-22,24.0
37236,2021-02-23,22.0
37237,2021-02-24,28.0
37238,2021-02-25,39.0
37239,2021-02-26,29.0
37240,2021-02-27,29.0
37241,2021-02-28,36.0
37242,2021-03-01,30.0
37243,2021-03-02,23.0
37244,2021-03-03,40.0
37245,2021-03-04,35.0
37246,2021-03-05,32.0
37247,2021-03-06,41.0
37248,2021-03-07,53.0
37249,2021-03-08,39.0
37250,2021-03-09,46.0
37251,2021-03-10,43.0
37252,2021-03-11,51.0
37253,2021-03-12,49.0
37254,2021-03-13,52.0
37255,2021-03-14,53.0
37256,2021-03-15,46.0
37257,2021-03-16,59.0
37258,2021-03-17,56.0
37259,2021-03-18,45.0
37260,2021-03-19,64.0
37261,2021-03-20,60.0
37262,2021-03-21,41.0
37263,2021-03-22,69.0
37264,2021-03-23,51.0
37265,2021-03-24,67.0
37266,2021-03-25,52.0
37267,2021-03-26,53.0
37268,2021-03-27,72.0
37269,2021-03-28,54.0
37270,2021-03-29,65.0
37271,2021-03-30,72.0
37272,2021-03-31,76.0
37273,2021-04-01,67.0
37274,2021-04-02,72.0
37275,2021-04-03,70.0
37276,2021-04-04,78.0
37277,2021-04-05,73.0
37278,2021-04-06,79.0
37279,2021-04-07,75.0
37280,2021-04-08,73.0
37281,2021-04-09,78.0
37282,2021-04-10,75.0
37283,2021-04-11,52.0
37284,2021-04-12,76.0
37285,2021-04-13,93.0
37286,2021-04-14,81.0
37287,2021-04-15,104.0
37288,2021-04-16,91.0
37289,2021-04-17,67.0
37290,2021-04-18,65.0
37291,2021-04-19,78.0
37292,2021-04-20,87.0
37293,2021-04-21,86.0
37294,2021-04-22,75.0
37295,2021-04-23,76.0
37296,2021-04-24,86.0
37297,2021-04-25,57.0
37298,2021-04-26,80.0
37299,2021-04-27,92.0
37300,2021-04-28,63.0
37301,2021-04-29,73.0
37302,2021-04-30,66.0
37303,2021-05-01,72.0
37304,2021-05-02,0.0
37305,2021-05-03,134.0
37306,2021-05-04,81.0
37307,2021-05-05,96.0
37308,2021-05-06,83.0
37309,2021-05-07,63.0
37310,2021-05-08,68.0
37311,2021-05-09,51.0
37312,2021-05-10,60.0
37313,2021-05-11,52.0
37314,2021-05-12,70.0
37315,2021-05-13,55.0
37316,2021-05-14,56.0
37317,2021-05-15,43.0
37318,2021-05-16,50.0
37319,2021-05-17,56.0
37320,2021-05-18,63.0
37321,2021-05-19,53.0
37322,2021-05-20,54.0
37323,2021-05-21,56.0
37324,2021-05-22,37.0
37325,2021-05-23,38.0
37326,2021-05-24,50.0
37327,2021-05-25,50.0
37328,2021-05-26,44.0
37329,2021-05-27,39.0
37330,2021-05-28,40.0
37331,2021-05-29,29.0
37332,2021-05-30,30.0
37333,2021-05-31,41.0
37334,2021-06-01,27.0
37335,2021-06-02,23.0
37336,2021-06-03,39.0
37337,2021-06-04,34.0
37338,2021-06-05,35.0
37339,2021-06-06,24.0
37340,2021-06-07,24.0
37341,2021-06-08,30.0
37342,2021-06-09,15.0
37343,2021-06-10,24.0
37344,2021-06-11,11.0
37345,2021-06-12,21.0
37346,2021-06-13,17.0
37347,2021-06-14,18.0
37348,2021-06-15,22.0
37349,2021-06-16,13.0
37350,2021-06-17,16.0
37351,2021-06-18,20.0
37352,2021-06-19,20.0
37353,2021-06-20,14.0
37354,2021-06-21,17.0
37355,2021-06-22,16.0
37356,2021-06-23,14.0
37357,2021-06-24,15.0
37358,2021-06-25,21.0
37359,2021-06-26,12.0
37360,2021-06-27,18.0
37361,2021-06-28,8.0
37362,2021-06-29,13.0
37363,2021-06-30,11.0
37364,2021-07-01,4.0
37365,2021-07-02,10.0
37366,2021-07-03,9.0
37367,2021-07-04,6.0
37368,2021-07-05,6.0
37369,2021-07-06,8.0
37370,2021-07-07,9.0
37371,2021-07-08,10.0
37372,2021-07-09,12.0
37373,2021-07-10,2.0
37374,2021-07-11,5.0
37375,2021-07-12,10.0
37376,2021-07-13,4.0
37377,2021-07-14,7.0
37378,2021-07-15,6.0
37379,2021-07-16,14.0
37380,2021-07-17,7.0
37381,2021-07-18,10.0
